[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468304125377060868...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CeballosM_UEC...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JohnMiltonR_...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468571979284373513 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468571979284373513...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 3
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468571979284373513...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468220140592508935 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468220140592508935...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468220140592508935...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JCecheverryCol...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of UbeimarDelgadoB...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468222379553918981 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468222379553918981...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468222379553918981...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of MauricioCard...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AlirioBarreraR...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of RafaNietoLoaiza...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AlvaroUribeVel...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of honohenriquez...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468228719219286021 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468228719219286021...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 55
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468228719219286021...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 34
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of ArturoCharC...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of EfrainCepeda...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468319785725345799 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468319785725345799...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468319785725345799...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of IvanAgudeloZ...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JoseDavidName...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AABenedetti...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468383256424890375 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468383256424890375...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 75
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468383256424890375...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 8
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468378504827965446 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468378504827965446...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 225
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468378504827965446...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 17
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AntanasMockus...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of SenadorJGuevara...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AngelicaLozanoC...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of IvanCepedaCast...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CatatumbComunes...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of GustavoBolivar...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468312372611887104 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468312372611887104...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468312372611887104...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 11
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AidaAvellaE...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468575519104974848 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468575519104974848...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 4
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468575519104974848...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JohnMiltonR_...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468571979284373513 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468571979284373513...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 3
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468571979284373513...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468220140592508935 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468220140592508935...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468220140592508935...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of FelicianoValen...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468534540088053766 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468534540088053766...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468534540088053766...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468250706100596744 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468250706100596744...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 2
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468250706100596744...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of jjUscategui...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JuanKarloslos...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of ReyesKuri...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of oscardarioperez...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of clorduy...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of apecuello...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JuanitaGoe...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468257765869064194 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468257765869064194...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 7
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468257765869064194...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of MirandaBogota...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of MauroToroO...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of FiscaliaCol...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468308215800684550 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468308215800684550...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468308215800684550...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of PGN_COL...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468334547716739077 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468334547716739077...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468334547716739077...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468334545539842050 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468334545539842050...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468334545539842050...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468334541358120966 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468334541358120966...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468334541358120966...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468332488560820225 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468332488560820225...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468332488560820225...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468318318503333893 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468318318503333893...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468318318503333893...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468309891378987015 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468309891378987015...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468309891378987015...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468272845683757058 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468272845683757058...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468272845683757058...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of DefensoriaCol...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CGR_Colombia...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AuditoriaGen...
[2021-12-08 13:59:55+00:00] root - INFO - Collection finished
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweets collected: 31
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 132
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 615
[2021-12-08 13:59:55+00:00] root - INFO - Execution time: 00:01:01
